,body,face,hats,shirt,tier
321,blue cat skin,happy cute,top hat,mononoke,classy_2
322,blue cat skin,sunglasses heart,crown black,winter red,classy_2
323,blue cat skin,ninja red,hat white,buttondown green,cool_1
324,blue cat skin,angry cute,sushi,tanktop sailor red,wild_1
325,blue cat skin,hearts,beret black,wetsuit,wild_2
326,blue cat skin,ditto,beanie black,viking navy,classy_1
327,blue cat skin,happy,top hat,viking brown,classy_1
328,blue cat skin,ninja blue,cowboy brown,buttondown green,cool_2
329,blue cat skin,sunglasses yellow,apple,tanktop white,cool_1
330,blue cat skin,stunned,hat skull,work red,cool_2
331,blue cat skin,sunglasses cool,flower red,tshirt white,cool_2
332,blue cat skin,three eyes,apple,robe blue,cool_2
333,blue cat skin,sunglasses cowboy,headband red,tshirt pink,cool_1
334,blue cat skin,three eyes,candle,sweater green chain,wild_2
335,blue cat skin,dizzy,wreath,overalls blue,cool_1
336,blue cat skin,dizzy,mohawk green,sweater orange,cool_1
337,blue cat skin,tired,wreath,sweater orange,cool_1
338,blue cat skin,angry cute,mohawk green,sweater orange,cool_1
339,blue cat skin,happy,hat white,bandana green,cool_1
340,blue cat skin,angry scar,deepsea bronze,sweater green chain,exotic_1
341,blue cat skin,grin,flower blue,winter red,cool_2
342,blue cat skin,pixel,helm army,baseball blue,wild_1
343,blue cat skin,sunglasses cowboy,afro black,tshirt yellow,cool_2
344,blue cat skin,happy,sunhat tan,nurse,wild_2
345,blue cat skin,tired,mullet blonde,tshirt red,cool_2
346,blue cat skin,angry cute,sunhat black,work red,cool_2
347,blue cat skin,rich,piercings,ninja blue,wild_1
348,blue cat skin,sunglasses yellow,beanie black,work red,cool_2
349,blue cat skin,ninja blue,beanie orange,cowboy brown,wild_2
350,blue cat skin,ninja blue,ninja blue,shirt yellow,cool_2
351,blue cat skin,mummy,flower pink,bandana green,cool_2
352,blue cat skin,ninja blue,sunhat black,tanktop sailor blue,wild_1
353,blue cat skin,sunglasses cool,mohawk green,tanktop pink,cool_1
354,blue cat skin,sunglasses blue,deepsea bronze,pirate black,classy_2
355,blue cat skin,glasses,cowboy brown,tshirt red,cool_2
356,blue cat skin,mononoke,astro cheeks,pirate red,exotic_1
357,blue cat skin,hearts,headband red,tanktop white,cool_1
358,blue cat skin,beard tan,hat visor yellow,ninja red,cool_2
359,blue cat skin,hearts,unicorn horn,shirt bowtie,wild_1
360,blue cat skin,dizzy,mohawk purple,buttondown tan,cool_1
361,blue cat skin,mummy,sunhat white,hoodie red,classy_1
362,blue cat skin,wink,ninja black,tanktop pink,wild_1
363,blue cat skin,shocked,hat black,overalls yellow,wild_2
364,blue cat skin,grin,beanie black,ninja blue,wild_1
365,blue cat skin,happy cute,tvhead grey,knight,classy_1
366,blue cat skin,happy,beanie orange,robe white,cool_2
367,blue cat skin,tired,beanie orange,sweater orange,cool_1
368,blue cat skin,stunned,deepsea bronze,bandana green,wild_2
369,blue cat skin,glossy,knight blue,combat green,classy_2
370,blue cat skin,three eyes,nurse,viking brown,classy_2
371,blue cat skin,owo,arrowhead,epaulette red,wild_2
372,blue cat skin,double face,dutch,overalls red,classy_2
373,blue cat skin,rich,halo fire,costume gorilla,exotic_2
374,blue cat skin,glasses,hat visor blue,lederhosen,wild_2
375,blue cat skin,sunglasses pixel,helm army,tshirt green,wild_1
376,blue cat skin,tvface nosignal,tvhead white,wetsuit,exotic_1
377,blue cat skin,pixel,afro black,tanktop orange,cool_2
378,blue cat skin,sunglasses squad,flower blue,tanktop sailor black,wild_1
379,blue cat skin,mononoke,piercings,buttondown tan,cool_2
380,blue cat skin,beard pirate,hat visor yellow,tanktop white,cool_2
381,blue cat skin,sunglasses heart,goggles seaweed,viking navy,classy_2
382,blue cat skin,happy,hat visor yellow,hoodie purple,cool_1
383,blue cat skin,zombie,helm silver,costume frog,exotic_1
384,blue cat skin,rich,bucket hat tan,labcoat,wild_1
385,blue cat skin,angry cute,knight red,shirt yellow,wild_1
386,blue cat skin,glasses,bucket hat green,overalls flannel,cool_2
387,blue cat skin,angry scar,ninja blue,buttondown green,wild_1
388,blue cat skin,double face,mohawk purple,chain,wild_1
389,blue cat skin,shocked,headband blue,buttondown black flannel,cool_1
390,blue cat skin,face face,bucket hat green,tanktop white,cool_1
391,blue cat skin,dizzy,bucket hat blue,overalls yellow,classy_1
392,blue cat skin,double face,beanie orange,shirt yellow,cool_2
393,blue cat skin,ninja red,arrowhead,astro,wild_1
394,blue cat skin,ninja black,pirate red,buttondown blue flannel,cool_2
395,blue cat skin,derp,mullet brown,tshirt green,cool_2
396,blue cat skin,wink,apple,robe red,cool_1
397,blue cat skin,beard brown,hat white,sweater pink,cool_2
398,blue cat skin,grin,headband red,work blue,cool_1
399,blue cat skin,ditto,cowboy brown,costume frog,classy_2
400,blue cat skin,sunglasses squad,cowboy brown,costume hotdog,classy_2
401,blue cat skin,happy,knight red,tiger,classy_2
402,blue cat skin,glasses funny,bucket hat green,epaulette black,wild_2
403,blue cat skin,angry cute,costume gorilla,lederhosen,classy_2
404,blue cat skin,angry scar,beret green,buttondown tan,cool_2
405,blue cat skin,shocked,hat white,labcoat,cool_2
406,blue cat skin,glasses funny,cowboy brown,tanktop white,wild_1
407,blue cat skin,ninja blue,horns,baseball red,wild_2
408,blue cat skin,beard tan,piercings,epaulette red,wild_2
409,blue cat skin,glasses funny,afro brown,bandana green,wild_1
410,blue cat skin,double face,hat skull,tshirt green,wild_1
411,blue cat skin,pixel,mohawk green,tanktop sailor red,cool_2
412,blue cat skin,sunglasses yellow,bucket hat green,mononoke,wild_2
413,blue cat skin,glossy,mohawk green,buttondown black flannel,cool_1
414,blue cat skin,stunned,bucket hat green,astro orange,wild_2
415,blue cat skin,angry scar,apple,sweater orange,cool_2
416,blue cat skin,wink,mohawk purple,ninja blue,cool_2
417,blue cat skin,beard brown,hat visor blue,bandana red,cool_2
418,blue cat skin,tvface 404,tvhead grey,deepsea orange,exotic_1
419,blue cat skin,rich,sunhat tan,tshirt yellow,wild_1
420,blue cat skin,three eyes,wreath flowers,cowboy black,classy_1
421,blue cat skin,double face,cowboy brown,sweater orange,wild_1
422,blue cat skin,sunglasses blue,beanie orange,tshirt white,cool_2
423,blue cat skin,hearts,hat white,tanktop orange,cool_1
424,blue cat skin,zombie,costume frog,monk,exotic_2
425,blue cat skin,ninja black,hat white,sweater orange,cool_1
426,blue cat skin,mononoke,apple,overalls blue,cool_2
427,blue cat skin,dizzy,crown fire,deepsea orange,exotic_1
428,blue cat skin,happy,beanie black,tiger,classy_1
429,blue cat skin,glossy,headband blue,sweater orange,cool_1
430,blue cat skin,sunglasses pixel,mohawk green,bandana purple,cool_2
431,blue cat skin,mummy,bucket hat blue,epaulette black,classy_2
432,blue cat skin,stunned,helm army,work red,cool_2
433,blue cat skin,mummy,apple,bandana purple,cool_2
434,blue cat skin,angry,admiral pink,deepsea bronze,exotic_1
435,blue cat skin,tired,bucket hat green,buttondown tan,cool_1
436,blue cat skin,mononoke,arrowhead,tshirt green,cool_2
437,blue cat skin,tired,knight red,tanktop orange,wild_1
